City,Segment,Latitude,Longitude,Population,Revenue
New York,East,40.7128,-74.0060,8400000,952000
Los Angeles,West,34.0522,-118.2437,3900000,721000
Chicago,Central,41.8781,-87.6298,2700000,644000
Houston,Central,29.7604,-95.3698,2300000,512000
Phoenix,West,33.4484,-112.0740,1600000,301000
Toronto,Canada,43.6532,-79.3832,2930000,608000
Montreal,Canada,45.5019,-73.5674,1760000,342000
Vancouver,Canada,49.2827,-123.1207,675000,338000
Mexico City,Mexico,19.4326,-99.1332,9200000,829000
Monterrey,Mexico,25.6866,-100.3161,1140000,264000
Guadalajara,Mexico,20.6597,-103.3496,1500000,231000
Miami,East,25.7617,-80.1918,460000,509000
Seattle,West,47.6062,-122.3321,750000,488000
Denver,Central,39.7392,-104.9903,715000,352000
Atlanta,East,33.7490,-84.3880,500000,401000
Boston,East,42.3601,-71.0589,690000,477000
Anchorage,West,61.2181,-149.9003,290000,88000
Honolulu,West,21.3069,-157.8583,345000,132000
San Juan,East,18.4655,-66.1057,320000,97000
Panama City,Central America,8.9824,-79.5199,880000,141000
Atlantis,Mystery,,,100000,10000
